Student,Semester,Math,Physics,Chemistry,Biology,English
Louis Day,Semester 6,,,68.0,,44.0
Robert Henry,Semester 7,47.0,,49.0,57.0,77.0
Robert Henry,Semester 1,,,,,63.0
James Owens,Semester 2,45.0,57.0,,,79.0
James Owens,Semester 1,,,74.0,52.0,
James Owens,Semester 5,47.0,70.0,100.0,99.0,
James Owens,Semester 8,,,,90.0,
James Owens,Semester 3,59.0,,51.0,,47.0
James Owens,Semester 7,,,99.0,,71.0
James Owens,Semester 6,,,84.0,47.0,57.0
Gina Gordon,Semester 8,42.0,57.0,,71.0,
Gina Gordon,Semester 2,33.0,,54.0,45.0,
Gina Gordon,Semester 4,81.0,41.0,54.0,,
Gina Gordon,Semester 3,,,,92.0,39.0
Gina Gordon,Semester 6,63.0,38.0,93.0,,30.0
Gina Gordon,Semester 5,43.0,59.0,,46.0,78.0
Gina Gordon,Semester 1,85.0,52.0,66.0,60.0,55.0
Donna Ruiz,Semester 1,49.0,89.0,,60.0,
Donna Ruiz,Semester 6,85.0,,,,
Donna Ruiz,Semester 5,87.0,,54.0,60.0,
Donna Ruiz,Semester 7,52.0,33.0,,99.0,57.0
Donna Ruiz,Semester 4,33.0,45.0,62.0,,
Donna Ruiz,Semester 3,,,,94.0,
Zoe Peterson,Semester 6,53.0,,,66.0,83.0
Zoe Peterson,Semester 7,57.0,84.0,,83.0,36.0
Zoe Peterson,Semester 3,93.0,70.0,80.0,,
Renee Suarez,Semester 2,,,,79.0,96.0
Christine Velazquez MD,Semester 8,35.0,,89.0,64.0,82.0
Christine Velazquez MD,Semester 2,,,,,
Christine Velazquez MD,Semester 7,86.0,96.0,46.0,,
Christine Velazquez MD,Semester 1,,,51.0,100.0,43.0
Trevor Mcgee,Semester 6,,91.0,98.0,98.0,92.0
Trevor Mcgee,Semester 8,,,,,
Trevor Mcgee,Semester 1,,70.0,,50.0,
Trevor Mcgee,Semester 7,,,40.0,,
Alison Medina,Semester 5,82.0,,72.0,,
Alison Medina,Semester 3,,,65.0,44.0,88.0
Alison Medina,Semester 4,93.0,94.0,,,94.0
Alison Medina,Semester 8,,,55.0,34.0,40.0
Alison Medina,Semester 7,,,35.0,79.0,
Alison Medina,Semester 6,41.0,,50.0,94.0,30.0
Paula Velez,Semester 6,34.0,49.0,,68.0,
Paula Velez,Semester 7,40.0,88.0,58.0,,36.0
Paula Velez,Semester 5,,53.0,50.0,,43.0
Paula Velez,Semester 2,,79.0,,38.0,57.0
Paula Velez,Semester 3,,,,,
Paula Velez,Semester 4,37.0,,92.0,,64.0
Paula Velez,Semester 8,,60.0,34.0,,
David Gilbert,Semester 2,45.0,,,,
David Gilbert,Semester 6,,,73.0,91.0,
David Gilbert,Semester 5,,57.0,39.0,,
David Gilbert,Semester 1,,,67.0,37.0,86.0
David Gilbert,Semester 7,86.0,,66.0,,94.0
David Gilbert,Semester 8,,,66.0,65.0,
Jasmine Rasmussen,Semester 6,39.0,,,48.0,
Jasmine Rasmussen,Semester 4,33.0,,,37.0,
Jasmine Rasmussen,Semester 2,47.0,,75.0,,100.0
Jasmine Rasmussen,Semester 8,,,,,79.0
Jasmine Rasmussen,Semester 7,,,,,
Jasmine Rasmussen,Semester 1,,,78.0,,
Jasmine Rasmussen,Semester 3,,,,44.0,
Jasmine Rasmussen,Semester 5,,48.0,80.0,53.0,90.0
Alec Owen,Semester 1,,100.0,,71.0,
Alec Owen,Semester 3,37.0,,95.0,,
Alec Owen,Semester 8,,,,99.0,96.0
Alec Owen,Semester 7,36.0,71.0,,100.0,
Sean Sanchez,Semester 5,91.0,98.0,,,
Sean Sanchez,Semester 2,43.0,44.0,56.0,,36.0
Sean Sanchez,Semester 1,,65.0,,54.0,
Sean Sanchez,Semester 4,98.0,89.0,31.0,67.0,
Sean Sanchez,Semester 7,89.0,,48.0,93.0,
Sean Sanchez,Semester 3,,48.0,,34.0,47.0
Sean Sanchez,Semester 6,,86.0,79.0,65.0,49.0
Sean Sanchez,Semester 8,83.0,,59.0,,
Richard Anderson,Semester 3,,,47.0,84.0,
Richard Anderson,Semester 2,,,91.0,38.0,88.0
Richard Anderson,Semester 7,,,58.0,56.0,69.0
Richard Anderson,Semester 8,48.0,,49.0,,90.0
Richard Anderson,Semester 6,31.0,,,,
Susan Myers,Semester 3,,,,,66.0
Susan Myers,Semester 4,66.0,92.0,,46.0,77.0
Susan Myers,Semester 7,,93.0,57.0,42.0,36.0
Connie Horne,Semester 1,49.0,93.0,70.0,41.0,
Connie Horne,Semester 3,80.0,56.0,,,
Connie Horne,Semester 7,,49.0,,59.0,44.0
Connie Horne,Semester 5,83.0,,,59.0,75.0
Connie Horne,Semester 4,,,42.0,,88.0
Luis Smith,Semester 8,46.0,88.0,,65.0,56.0
Luis Smith,Semester 1,78.0,94.0,95.0,95.0,
Luis Smith,Semester 7,86.0,36.0,73.0,81.0,
Luis Smith,Semester 6,79.0,60.0,65.0,75.0,81.0
Luis Smith,Semester 3,,,61.0,,
Luis Smith,Semester 4,74.0,,,,
Dawn Reynolds,Semester 1,70.0,88.0,46.0,,76.0
Dawn Reynolds,Semester 6,,46.0,66.0,,68.0
Dawn Reynolds,Semester 7,,,,,
Dawn Reynolds,Semester 3,,38.0,98.0,56.0,
Dawn Reynolds,Semester 8,90.0,,,,
Dawn Reynolds,Semester 4,,,92.0,,
Dawn Reynolds,Semester 2,67.0,,84.0,,68.0
Dawn Reynolds,Semester 5,85.0,,,77.0,42.0
James Butler,Semester 7,,,77.0,,
James Butler,Semester 3,,,,35.0,
James Butler,Semester 2,,,98.0,,72.0
James Butler,Semester 4,,,71.0,,
James Butler,Semester 5,,,,,
James Butler,Semester 1,81.0,,83.0,99.0,35.0
Allen Huff,Semester 2,38.0,95.0,,,
Allen Huff,Semester 3,,54.0,,86.0,
Allen Huff,Semester 4,95.0,75.0,35.0,,50.0
Allen Huff,Semester 7,,,34.0,80.0,
Allen Huff,Semester 1,,,,79.0,32.0
Theresa Mendez,Semester 4,30.0,30.0,,32.0,70.0
Theresa Mendez,Semester 8,100.0,100.0,,,63.0
Theresa Mendez,Semester 7,56.0,97.0,83.0,76.0,
Theresa Mendez,Semester 2,,,71.0,45.0,81.0
Theresa Mendez,Semester 5,,,,46.0,87.0
Julia Baxter,Semester 5,36.0,,90.0,70.0,88.0
Julia Baxter,Semester 1,,,,100.0,90.0
Julia Baxter,Semester 8,94.0,,,70.0,
Julia Baxter,Semester 7,84.0,53.0,36.0,36.0,
Julia Baxter,Semester 2,,85.0,58.0,,79.0
Julia Baxter,Semester 3,65.0,,,,
Julia Baxter,Semester 6,84.0,,,32.0,
Julia Baxter,Semester 4,71.0,,,66.0,
Tracy Green,Semester 1,,41.0,51.0,,37.0
Tracy Green,Semester 8,,34.0,,43.0,
Tracy Green,Semester 4,,,,61.0,69.0
Tracy Green,Semester 5,,74.0,,34.0,
Tracy Green,Semester 7,37.0,,82.0,46.0,89.0
Tracy Green,Semester 2,,51.0,63.0,,49.0
Breanna Mullins,Semester 6,,45.0,,,
Breanna Mullins,Semester 7,92.0,,,72.0,58.0
Breanna Mullins,Semester 3,71.0,61.0,,,
Breanna Mullins,Semester 5,,64.0,,41.0,
Breanna Mullins,Semester 1,,,,,95.0
Breanna Mullins,Semester 2,34.0,86.0,66.0,,
Jeffrey Nelson PhD,Semester 2,,58.0,,,
Jeffrey Nelson PhD,Semester 4,,,,81.0,
Jeffrey Nelson PhD,Semester 6,89.0,,,71.0,46.0
Jeffrey Nelson PhD,Semester 3,,,57.0,35.0,86.0
Jessica Juarez,Semester 4,73.0,,,53.0,38.0
Jessica Juarez,Semester 2,,,58.0,,
Leslie Leonard,Semester 2,,69.0,,97.0,73.0
Leslie Leonard,Semester 8,76.0,46.0,96.0,,84.0
Leslie Leonard,Semester 4,86.0,,79.0,56.0,53.0
James White,Semester 2,67.0,,,75.0,
James White,Semester 5,,,,,38.0
Nancy Frost,Semester 5,67.0,,,93.0,78.0
Nancy Frost,Semester 7,,38.0,,,69.0
Nancy Frost,Semester 4,,,,66.0,96.0
Nancy Frost,Semester 2,,51.0,,65.0,66.0
Nancy Frost,Semester 3,55.0,33.0,,,
Nancy Frost,Semester 1,,60.0,,,86.0
Nancy Frost,Semester 6,,57.0,,43.0,98.0
Nancy Frost,Semester 8,56.0,56.0,,,
Justin Gilmore,Semester 8,72.0,39.0,46.0,,
Justin Gilmore,Semester 6,,,69.0,44.0,98.0
Justin Gilmore,Semester 7,49.0,,86.0,,41.0
Justin Gilmore,Semester 2,,,35.0,42.0,
Jeffrey Boone,Semester 1,56.0,,31.0,,
Jeffrey Boone,Semester 3,76.0,,91.0,,88.0
Gina Acosta,Semester 3,93.0,67.0,,37.0,
Valerie Berry,Semester 7,50.0,91.0,67.0,58.0,
Valerie Berry,Semester 3,69.0,,67.0,,
Valerie Berry,Semester 2,87.0,80.0,86.0,,
Valerie Berry,Semester 4,86.0,48.0,49.0,,
Valerie Berry,Semester 8,74.0,62.0,71.0,,
Valerie Berry,Semester 6,,,45.0,67.0,60.0
Valerie Berry,Semester 1,86.0,73.0,51.0,,44.0
Valerie Berry,Semester 5,48.0,46.0,,52.0,
Elizabeth Gonzalez,Semester 2,59.0,43.0,37.0,81.0,
Elizabeth Gonzalez,Semester 7,,,31.0,56.0,51.0
Elizabeth Gonzalez,Semester 8,,,73.0,,35.0
Elizabeth Gonzalez,Semester 6,93.0,53.0,,51.0,38.0
Michael Fischer,Semester 6,71.0,,89.0,31.0,43.0
Michael Fischer,Semester 3,93.0,87.0,,,75.0
Michael Fischer,Semester 5,95.0,,,54.0,82.0
Michael Fischer,Semester 8,,95.0,40.0,,
Christina Walsh,Semester 2,,,73.0,67.0,49.0
Christina Walsh,Semester 1,97.0,,,97.0,81.0
Christina Walsh,Semester 6,93.0,,,,78.0
Christina Walsh,Semester 3,81.0,31.0,69.0,32.0,
Christina Walsh,Semester 7,45.0,88.0,,69.0,60.0
Brandi Sutton,Semester 7,,,86.0,,85.0
Brandi Sutton,Semester 2,46.0,48.0,,,71.0
Brandi Sutton,Semester 6,,,57.0,72.0,41.0
Brandi Sutton,Semester 8,,,,,
Brandi Sutton,Semester 3,96.0,,,60.0,
Glen Love,Semester 6,,,57.0,,
Glen Love,Semester 1,,,66.0,42.0,
Glen Love,Semester 8,,91.0,71.0,,
Victoria Odonnell,Semester 3,,64.0,64.0,62.0,
Victoria Odonnell,Semester 7,,,,,
Victoria Odonnell,Semester 8,73.0,100.0,,94.0,
Victoria Odonnell,Semester 5,84.0,,91.0,,32.0
Victoria Odonnell,Semester 6,,,77.0,,
Victoria Odonnell,Semester 1,,91.0,46.0,,
Victoria Odonnell,Semester 4,,,79.0,67.0,35.0
Katherine Benjamin,Semester 8,77.0,,92.0,,
Katherine Benjamin,Semester 7,38.0,95.0,99.0,85.0,
Katherine Benjamin,Semester 3,85.0,39.0,92.0,,54.0
Mary Smith,Semester 8,,46.0,,58.0,50.0
Mary Smith,Semester 7,81.0,,88.0,,
Mary Smith,Semester 6,71.0,66.0,54.0,,51.0
Jonathan Rice,Semester 1,,,51.0,,51.0
Jonathan Rice,Semester 5,49.0,67.0,,,41.0
Jonathan Rice,Semester 4,,,37.0,30.0,98.0
Jonathan Rice,Semester 2,,,,,
Jonathan Rice,Semester 8,,,,86.0,60.0
Jonathan Rice,Semester 6,,81.0,30.0,,
Andrew Morris,Semester 2,95.0,34.0,50.0,,
Andrew Morris,Semester 5,30.0,,,49.0,42.0
Andrew Morris,Semester 8,,,,78.0,58.0
Andrew Morris,Semester 1,,68.0,,,93.0
Andrew Morris,Semester 3,94.0,,47.0,58.0,38.0
Tracie Martinez,Semester 3,,69.0,32.0,86.0,
Tracie Martinez,Semester 8,59.0,65.0,45.0,87.0,
Tracie Martinez,Semester 4,,,68.0,67.0,
Tracie Martinez,Semester 2,78.0,66.0,,,47.0
Tracie Martinez,Semester 1,51.0,58.0,,,46.0
Tracie Martinez,Semester 5,,,,,
Marcus Meyer,Semester 7,,98.0,97.0,,
Marcus Meyer,Semester 4,,84.0,34.0,,
Marcus Meyer,Semester 2,76.0,73.0,,65.0,
Jessica Baker,Semester 4,50.0,38.0,,94.0,
Jessica Baker,Semester 3,,67.0,,,
Jessica Baker,Semester 8,,100.0,,,74.0
Jessica Baker,Semester 1,72.0,,78.0,,
Jessica Baker,Semester 2,78.0,98.0,,,
Jessica Baker,Semester 5,80.0,,53.0,,
Jessica Baker,Semester 7,,66.0,,99.0,77.0
Jessica Baker,Semester 6,80.0,82.0,,,33.0
Wendy Berry,Semester 2,,,,,100.0
Wendy Berry,Semester 5,94.0,77.0,,,
Wendy Berry,Semester 4,37.0,,,57.0,
Caleb Marsh,Semester 4,,77.0,100.0,,
Debra Miller,Semester 5,76.0,,,83.0,78.0
Debra Miller,Semester 4,54.0,,,58.0,37.0
Debra Miller,Semester 2,83.0,,43.0,,
Debra Miller,Semester 7,95.0,,,56.0,46.0
Debra Miller,Semester 6,,,,,61.0
Melinda Mason,Semester 3,53.0,82.0,42.0,99.0,
Melinda Mason,Semester 5,,,,,
Melinda Mason,Semester 8,,80.0,82.0,,
Melinda Mason,Semester 2,,,67.0,,81.0
Melinda Mason,Semester 1,80.0,,36.0,,68.0
Melinda Mason,Semester 6,,71.0,42.0,,50.0
Melinda Mason,Semester 7,,95.0,,100.0,
Melinda Mason,Semester 4,63.0,96.0,,67.0,
Matthew Burgess,Semester 6,93.0,63.0,69.0,69.0,
Anthony Kelly,Semester 4,,47.0,83.0,84.0,100.0
Anthony Kelly,Semester 3,,64.0,35.0,,87.0
Anthony Kelly,Semester 6,36.0,68.0,,,38.0
Kelly Mcdonald,Semester 7,,67.0,68.0,,
Kelly Mcdonald,Semester 4,,,44.0,39.0,65.0
Kelly Mcdonald,Semester 3,,,,64.0,
Kelly Mcdonald,Semester 5,,59.0,49.0,,
Kelly Mcdonald,Semester 2,,61.0,34.0,,84.0
Kelly Mcdonald,Semester 6,,,,,33.0
Kelly Mcdonald,Semester 8,87.0,,,,
Kelly Mcdonald,Semester 1,69.0,70.0,,,71.0
Elizabeth Sanders,Semester 7,83.0,,65.0,69.0,
Elizabeth Sanders,Semester 1,,40.0,99.0,,
Elizabeth Sanders,Semester 4,90.0,58.0,32.0,,89.0
Elizabeth Sanders,Semester 8,36.0,,74.0,,
Elizabeth Sanders,Semester 5,,76.0,,62.0,
Elizabeth Kelly,Semester 1,99.0,,,,73.0
Elizabeth Kelly,Semester 5,51.0,43.0,74.0,,
Elizabeth Kelly,Semester 4,45.0,84.0,63.0,,
Spencer Tran,Semester 8,36.0,71.0,48.0,,
Spencer Tran,Semester 1,,97.0,,36.0,
Spencer Tran,Semester 7,,,35.0,,59.0
Jay Brown,Semester 2,60.0,,,73.0,
Jay Brown,Semester 5,,84.0,,,100.0
Bobby Hill,Semester 6,85.0,,,92.0,
Bobby Hill,Semester 7,67.0,,,34.0,61.0
Bobby Hill,Semester 1,50.0,,,39.0,37.0
Bobby Hill,Semester 5,,99.0,73.0,84.0,39.0
Stephanie Turner,Semester 2,,99.0,,60.0,
Stephanie Turner,Semester 6,100.0,37.0,43.0,,68.0
Stephanie Turner,Semester 8,34.0,85.0,83.0,71.0,44.0
Stephanie Turner,Semester 3,95.0,,,,32.0
Stephanie Turner,Semester 7,,,,,82.0
Stephanie Turner,Semester 5,52.0,45.0,,,
Lisa Rice DDS,Semester 8,43.0,,,60.0,76.0
Lisa Rice DDS,Semester 5,68.0,52.0,82.0,,51.0
Lisa Rice DDS,Semester 3,88.0,64.0,,34.0,74.0
Lisa Rice DDS,Semester 2,,58.0,59.0,,
Lisa Rice DDS,Semester 4,66.0,,74.0,,53.0
Lisa Rice DDS,Semester 1,75.0,,,,
Lisa Rice DDS,Semester 7,81.0,43.0,,,91.0
Destiny Potter,Semester 7,,,,84.0,
Jack Duran,Semester 4,,57.0,73.0,,41.0
Jack Duran,Semester 3,89.0,99.0,,,56.0
Jack Duran,Semester 5,,76.0,,,
Jack Duran,Semester 7,45.0,,73.0,,75.0
Cynthia Shepherd,Semester 7,,,,,35.0
Cynthia Shepherd,Semester 3,,,,,
Cynthia Shepherd,Semester 2,88.0,50.0,99.0,,
Cynthia Shepherd,Semester 8,,40.0,41.0,,
Cynthia Shepherd,Semester 6,,35.0,,,
Cynthia Shepherd,Semester 4,,,,60.0,52.0
Cynthia Shepherd,Semester 1,,,63.0,54.0,
Lucas Smith,Semester 8,,47.0,35.0,52.0,42.0
Lucas Smith,Semester 2,81.0,,,57.0,74.0
Teresa Nash,Semester 7,65.0,97.0,80.0,72.0,
Teresa Nash,Semester 2,53.0,73.0,89.0,,
Teresa Nash,Semester 3,,,60.0,50.0,33.0
Teresa Nash,Semester 6,,,71.0,,52.0
Teresa Nash,Semester 5,,56.0,34.0,37.0,84.0
Frank Lee,Semester 8,76.0,,,94.0,68.0
Frank Lee,Semester 7,,43.0,37.0,,58.0
Frank Lee,Semester 2,,73.0,,,57.0
Ashley Peterson,Semester 6,,,,51.0,76.0
Ashley Peterson,Semester 8,,91.0,,98.0,
Nicholas Chambers,Semester 1,,33.0,,67.0,
Nicholas Chambers,Semester 8,,,47.0,,
Nicholas Chambers,Semester 6,36.0,,30.0,36.0,
Nicholas Chambers,Semester 7,,,,,
Nicholas Chambers,Semester 3,,,62.0,,
Jason Phillips,Semester 3,,,76.0,43.0,89.0
Jason Phillips,Semester 8,,,,,39.0
Jason Phillips,Semester 6,62.0,,,47.0,80.0
Karen Gill,Semester 5,35.0,41.0,,64.0,85.0
Karen Gill,Semester 2,,,,,
Karen Gill,Semester 6,76.0,48.0,99.0,,83.0
Ruben Parsons,Semester 8,,75.0,,94.0,
Ruben Parsons,Semester 2,,,,81.0,81.0
Ruben Parsons,Semester 5,43.0,81.0,58.0,82.0,
Ruben Parsons,Semester 4,42.0,,,47.0,98.0
Ruben Parsons,Semester 1,66.0,61.0,,93.0,45.0
Ruben Parsons,Semester 7,38.0,51.0,,,83.0
Kayla Decker,Semester 8,80.0,34.0,,,
Kayla Decker,Semester 5,79.0,76.0,63.0,,
Kayla Decker,Semester 6,88.0,41.0,71.0,,
Kayla Decker,Semester 1,,,,91.0,51.0
Kayla Decker,Semester 2,77.0,,,,38.0
Andrea Martinez,Semester 2,51.0,58.0,35.0,,
Andrea Martinez,Semester 4,62.0,33.0,,,80.0
Andrea Martinez,Semester 5,,70.0,,55.0,
Daniel Villa,Semester 2,,,85.0,49.0,
Daniel Villa,Semester 1,,,41.0,,
Daniel Villa,Semester 8,,40.0,,,
Daniel Villa,Semester 5,79.0,78.0,,,
Daniel Villa,Semester 6,,,68.0,,
Daniel Villa,Semester 7,78.0,78.0,74.0,,32.0
Daniel Villa,Semester 3,,32.0,70.0,39.0,59.0
Troy Valenzuela,Semester 8,47.0,,,67.0,90.0
Troy Valenzuela,Semester 5,75.0,,57.0,,
Troy Valenzuela,Semester 6,,98.0,,68.0,73.0
Troy Valenzuela,Semester 2,41.0,,,,81.0
Troy Valenzuela,Semester 1,,,65.0,,53.0
Charles Hayden,Semester 8,54.0,89.0,31.0,,43.0
Charles Hayden,Semester 5,,57.0,,,67.0
Charles Hayden,Semester 3,,,51.0,46.0,
Alicia Campbell,Semester 4,99.0,,,,92.0
Lauren Cordova,Semester 3,,59.0,,,
Lauren Cordova,Semester 6,,,,57.0,
Lauren Cordova,Semester 5,55.0,55.0,56.0,,
Lauren Cordova,Semester 8,91.0,,,,73.0
Lauren Cordova,Semester 4,39.0,58.0,,40.0,69.0
Lauren Cordova,Semester 1,,49.0,,70.0,
Lauren Cordova,Semester 2,97.0,,,84.0,
Sarah Wilson,Semester 1,41.0,94.0,52.0,70.0,
Sarah Wilson,Semester 3,55.0,,44.0,,78.0
Sarah Wilson,Semester 6,100.0,50.0,44.0,,
Sarah Wilson,Semester 5,90.0,,37.0,91.0,83.0
Sarah Wilson,Semester 7,,97.0,89.0,,
Sarah Wilson,Semester 4,98.0,,,,
Sarah Wilson,Semester 2,52.0,,45.0,,
Sarah Wilson,Semester 8,,,82.0,,
Lisa Green,Semester 2,,93.0,72.0,,56.0
Lisa Green,Semester 4,,67.0,59.0,,
Lisa Green,Semester 6,39.0,,79.0,,46.0
Lisa Green,Semester 7,89.0,,80.0,64.0,
Lisa Green,Semester 1,,31.0,,85.0,
Lisa Green,Semester 8,,,,67.0,
Lisa Green,Semester 5,61.0,,,,72.0
Lisa Green,Semester 3,41.0,,,67.0,
Amy Evans,Semester 8,,32.0,58.0,48.0,35.0
Amy Evans,Semester 5,84.0,71.0,,,68.0
Amy Evans,Semester 4,57.0,66.0,,96.0,
Amy Evans,Semester 1,40.0,,,75.0,
Amy Evans,Semester 3,32.0,,,59.0,71.0
Amy Evans,Semester 6,49.0,,,,
Carl Wheeler,Semester 8,76.0,,,,
Carl Wheeler,Semester 7,60.0,82.0,,55.0,
Edgar Goodman,Semester 7,,42.0,85.0,40.0,89.0
Christopher Jackson,Semester 2,,,,32.0,67.0
Christopher Jackson,Semester 3,,,92.0,86.0,
Christopher Jackson,Semester 7,,88.0,,100.0,86.0
Alison Jones,Semester 7,69.0,,66.0,68.0,45.0
Alison Jones,Semester 4,91.0,,90.0,,
Alison Jones,Semester 3,77.0,,89.0,63.0,82.0
Alison Jones,Semester 6,36.0,41.0,,76.0,
Alison Jones,Semester 8,55.0,,,92.0,40.0
Alison Jones,Semester 5,,44.0,,,98.0
Alison Jones,Semester 2,70.0,,,,57.0
Alison Jones,Semester 1,95.0,,64.0,64.0,80.0
Elizabeth Smith,Semester 5,,,70.0,58.0,
Elizabeth Smith,Semester 2,,85.0,,,
Billy Todd,Semester 7,44.0,51.0,,96.0,72.0
Kathleen Greer,Semester 8,,51.0,68.0,,53.0
Kathleen Greer,Semester 2,43.0,,96.0,,
Kathleen Greer,Semester 6,84.0,,34.0,88.0,
Kathleen Greer,Semester 5,70.0,,52.0,56.0,55.0
Kathleen Greer,Semester 4,47.0,,,,
Kathleen Greer,Semester 3,,50.0,,,56.0
Kathleen Greer,Semester 7,43.0,,,,
Kathleen Greer,Semester 1,,54.0,,,77.0
Ryan Walton,Semester 1,,60.0,,,79.0
Ryan Walton,Semester 6,70.0,100.0,,,
Ronald Christian,Semester 2,80.0,,61.0,68.0,61.0
Ronald Christian,Semester 7,38.0,,,85.0,
Ronald Christian,Semester 3,,,56.0,36.0,
Ronald Christian,Semester 8,77.0,72.0,39.0,,79.0
Ronald Christian,Semester 4,,,82.0,,87.0
Ronald Christian,Semester 5,31.0,,51.0,56.0,63.0
Ronald Christian,Semester 6,75.0,56.0,,52.0,42.0
Diane Robinson,Semester 1,44.0,71.0,,73.0,64.0
Thomas Johnson,Semester 3,,,82.0,,62.0
Thomas Johnson,Semester 5,,,,,74.0
Thomas Johnson,Semester 4,73.0,,,,58.0
Thomas Johnson,Semester 8,87.0,,,,33.0
Thomas Johnson,Semester 7,57.0,,53.0,54.0,49.0
Thomas Johnson,Semester 1,,,61.0,80.0,93.0
Thomas Johnson,Semester 6,,,,80.0,
Emily Morgan,Semester 4,,,91.0,,
Emily Morgan,Semester 1,,47.0,,,
Emily Morgan,Semester 3,99.0,,89.0,33.0,
Emily Morgan,Semester 6,45.0,,88.0,87.0,31.0
Emily Morgan,Semester 2,,,,53.0,
Emily Morgan,Semester 5,,,39.0,94.0,34.0
Gina Peters,Semester 3,46.0,,,64.0,
Gina Peters,Semester 5,80.0,,55.0,,68.0
Adrian Simmons,Semester 3,41.0,,59.0,,
Roy Lopez,Semester 6,99.0,,,,
Roy Lopez,Semester 5,,76.0,,70.0,95.0
Roy Lopez,Semester 8,32.0,51.0,46.0,39.0,
Danny Thompson,Semester 7,56.0,,,34.0,
Danny Thompson,Semester 5,,61.0,,81.0,99.0
Danny Thompson,Semester 2,,,,,78.0
Danny Thompson,Semester 3,61.0,,,53.0,39.0
Danny Thompson,Semester 6,74.0,85.0,,84.0,52.0
Danny Thompson,Semester 4,,58.0,93.0,79.0,73.0
Danny Thompson,Semester 1,,,92.0,,38.0
Diane Williams,Semester 6,,,,65.0,83.0
Diane Williams,Semester 3,,76.0,,,100.0
Diane Williams,Semester 8,32.0,38.0,79.0,69.0,
Diane Williams,Semester 7,35.0,42.0,,,
Diane Williams,Semester 5,52.0,89.0,96.0,46.0,
Mr. Michael Rodriguez PhD,Semester 2,70.0,,,,
Rebecca Lawson,Semester 3,37.0,,60.0,46.0,
Andrew Roberts,Semester 1,,30.0,97.0,,36.0
Andrew Roberts,Semester 7,,41.0,,50.0,86.0
Andrew Roberts,Semester 6,73.0,94.0,,86.0,92.0
Andrew Roberts,Semester 2,,69.0,62.0,,
Andrew Roberts,Semester 8,,,52.0,70.0,
Megan Roberts,Semester 3,,,,55.0,87.0
Megan Roberts,Semester 5,,36.0,,60.0,74.0
Jennifer Schroeder,Semester 1,55.0,,76.0,68.0,
Jennifer Schroeder,Semester 3,,95.0,43.0,46.0,56.0
Jennifer Schroeder,Semester 8,59.0,,92.0,,
Bradley Hansen,Semester 8,,,91.0,,64.0
Bradley Hansen,Semester 7,,88.0,,,72.0
Bradley Hansen,Semester 6,,76.0,,,
Bradley Hansen,Semester 5,54.0,61.0,,,89.0
Bradley Hansen,Semester 3,50.0,,40.0,,
Bradley Hansen,Semester 2,,36.0,77.0,46.0,
Bradley Hansen,Semester 1,,,75.0,,74.0
Bradley Hansen,Semester 4,,30.0,,30.0,93.0
Nicholas Young,Semester 5,35.0,59.0,33.0,46.0,
